,worker_id,gender,age,party,voting_for,state,title,url,org,candidate,flesch,gunning_fog,readability,topic,favor,trust,group,is_complex,flesch_code,org_coded,disclose_source
45,29571331,male,18-29,independent_other,Not Voting,IL,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,0,2,A,-1,-1,4,0
46,29571331,male,18-29,independent_other,Not Voting,IL,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,2,A,1,1,2,0
47,29571331,male,18-29,independent_other,Not Voting,IL,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,1,2,A,0,0,3,0
48,29571331,male,18-29,independent_other,Not Voting,IL,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,-1,0,A,0,0,2,0
49,29571331,male,18-29,independent_other,Not Voting,IL,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,0,0,A,-1,-1,3,0
50,27914150,female,18-29,no_affiliation,Not Voting,KS,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,0,1,A,-1,-1,4,0
51,27914150,female,18-29,no_affiliation,Not Voting,KS,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,-1,A,1,1,2,0
52,27914150,female,18-29,no_affiliation,Not Voting,KS,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,1,0,A,0,0,3,0
53,27914150,female,18-29,no_affiliation,Not Voting,KS,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,-1,0,A,0,0,2,0
54,27914150,female,18-29,no_affiliation,Not Voting,KS,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,0,0,A,-1,-1,3,0
55,37198978,female,30-49,independent_other,Bernie Sanders,DE,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,-1,-2,A,-1,-1,4,0
56,37198978,female,30-49,independent_other,Bernie Sanders,DE,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,-1,A,1,1,2,0
57,37198978,female,30-49,independent_other,Bernie Sanders,DE,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,-1,-1,A,0,0,3,0
58,37198978,female,30-49,independent_other,Bernie Sanders,DE,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,0,2,A,0,0,2,0
59,37198978,female,30-49,independent_other,Bernie Sanders,DE,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,1,-1,A,-1,-1,3,0
60,25111984,female,50-64,independent_other,Hillary Clinton,CO,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,-1,1,A,0,0,1,0
61,25111984,female,50-64,independent_other,Hillary Clinton,CO,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,1,2,A,-1,-1,4,0
62,25111984,female,50-64,independent_other,Hillary Clinton,CO,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,-1,0,A,0,0,2,0
63,25111984,female,50-64,independent_other,Hillary Clinton,CO,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,-1,1,A,0,0,1,0
64,25111984,female,50-64,independent_other,Hillary Clinton,CO,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,0,2,A,1,1,4,0
65,36517633,female,18-29,independent_other,Hillary Clinton,NY,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,1,1,A,0,0,1,0
66,36517633,female,18-29,independent_other,Hillary Clinton,NY,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,1,2,A,-1,-1,4,0
67,36517633,female,18-29,independent_other,Hillary Clinton,NY,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,-1,2,A,0,0,2,0
68,36517633,female,18-29,independent_other,Hillary Clinton,NY,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,-1,2,A,0,0,1,0
69,36517633,female,18-29,independent_other,Hillary Clinton,NY,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,-1,2,A,1,1,4,0
70,16468100,female,18-29,republican,Ted Cruz,NE,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,0,1,A,0,0,1,0
71,16468100,female,18-29,republican,Ted Cruz,NE,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,0,1,A,-1,-1,4,0
72,16468100,female,18-29,republican,Ted Cruz,NE,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,0,1,A,0,0,2,0
73,16468100,female,18-29,republican,Ted Cruz,NE,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,0,1,A,0,0,1,0
74,16468100,female,18-29,republican,Ted Cruz,NE,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,0,0,A,1,1,4,0
75,32672123,male,30-49,democrat,Hillary Clinton,NV,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,1,1,A,0,0,4,0
76,32672123,male,30-49,democrat,Hillary Clinton,NV,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,0,1,A,-1,-1,4,0
77,32672123,male,30-49,democrat,Hillary Clinton,NV,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,The New York Times,Bernie Sanders,9.1,8.0,56.25,Immigration,1,1,A,0,0,3,0
78,32672123,male,30-49,democrat,Hillary Clinton,NV,Who's funding this pro-Ted Cruz super PAC?,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,CNN,Ted Cruz,11.9,10.8,49.15,Campaign Finance,1,0,A,1,1,1,0
79,32672123,male,30-49,democrat,Hillary Clinton,NV,Obama hopes to pave way for Clinton with SOTU,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,CNN,Hillary Clinton,13.0,13.2,51.52,Foreign Policy/National Security,0,0,A,1,1,1,0
80,18386513,female,30-49,republican,Ted Cruz,TN,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,0,0,A,0,0,4,0
81,18386513,female,30-49,republican,Ted Cruz,TN,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,0,1,A,-1,-1,4,0
82,18386513,female,30-49,republican,Ted Cruz,TN,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,The New York Times,Bernie Sanders,9.1,8.0,56.25,Immigration,0,1,A,0,0,3,0
83,18386513,female,30-49,republican,Ted Cruz,TN,Who's funding this pro-Ted Cruz super PAC?,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,CNN,Ted Cruz,11.9,10.8,49.15,Campaign Finance,0,1,A,1,1,1,0
84,18386513,female,30-49,republican,Ted Cruz,TN,Obama hopes to pave way for Clinton with SOTU,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,CNN,Hillary Clinton,13.0,13.2,51.52,Foreign Policy/National Security,0,1,A,1,1,1,0
